HP,MPG,VOL,SP,WT,,,MPG>38,,MPG<40,,20<MPG<50,,
49,53.70068138,89,104.1853528,28.7620589,,,x,,,,,,
55,50.01340115,92,105.4612635,30.46683298,,,x,,,,,,
55,50.01340115,92,105.4612635,30.19359657,,,x,,,,,,
70,45.69632238,92,113.4612635,30.63211391,,,x,,,,x,,
53,50.50423183,92,104.4612635,29.88914864,,,x,,,,,,
70,45.69632238,89,113.1853528,29.59176832,,,x,,,,x,,
55,50.01340115,92,105.4612635,30.30847957,,,x,,,,,,
62,46.71655428,50,102.5985128,15.84775807,,,x,,,,x,,
62,46.71655428,50,102.5985128,16.35948352,,,x,,,,x,,
80,42.29907817,94,115.6452041,30.92015417,,,x,,,,x,,
73,44.65283424,89,111.1853528,29.36334142,,,x,,,,x,,
92,39.3540941,50,117.5985128,15.75353468,,,x,,x,,x,,
92,39.3540941,99,122.1050553,32.81359241,,,x,,x,,x,,
73,44.65283424,89,111.1853528,29.3784363,,,x,,,,x,,
66,45.73489292,89,108.1853528,29.34727902,,,x,,,,x,,
73,44.65283424,89,111.1853528,29.60452658,,,x,,,,x,,
78,42.78990885,91,114.3692933,29.5357836,,,x,,,,x,,
92,39.3540941,50,117.5985128,16.19412154,,,x,,x,,x,,
78,42.78990885,91,114.3692933,29.92939368,,,x,,,,x,,
90,38.90183397,103,118.4729364,33.51697417,,,x,,x,,x,,
92,38.4110033,99,119.1050553,32.32464971,,,x,,x,,x,,
74,42.8284794,107,110.8408174,34.90821127,,,x,,,,x,,
95,38.31060597,101,120.2889958,32.6758277,,,x,,x,,x,,
81,40.47472334,96,113.8291446,31.83712236,,,x,,,,x,,
95,38.31060597,89,119.1853528,28.78172789,,,x,,x,,x,,
92,38.4110033,50,114.5985128,16.04317492,,,x,,x,,x,,
92,38.4110033,117,120.7605199,38.06282335,,,x,,x,,x,,
92,38.4110033,99,119.1050553,32.83506939,,,x,,x,,x,,
52,43.4694339,104,99.56490661,34.4832075,,,x,,,,x,,
103,35.40419245,107,121.8408174,35.54935984,,,,,x,,x,,
84,39.4312352,114,113.4846092,37.04235003,,,x,,x,,x,,
84,39.4312352,101,112.2889958,33.23436141,,,x,,x,,x,,
102,36.28545648,97,119.9211148,31.38004084,,,,,x,,x,,
102,36.28545648,113,121.3926389,37.57328965,,,,,x,,x,,
81,39.53163253,101,111.2889958,32.701644,,,x,,x,,x,,
90,37.95874317,98,115.0130851,31.9112234,,,,,x,,x,,
90,37.95874317,88,114.0933825,28.75400008,,,,,x,,x,,
102,34.07066829,86,116.909442,27.87991549,,,,,x,,x,,
102,34.07066829,86,116.909442,28.63050247,,,,,x,,x,,
130,31.01413094,92,128.4612635,30.11543403,,,,,x,,x,,
95,35.15272697,113,116.3926389,37.39252442,,,,,x,,x,,
95,35.15272697,106,115.7488471,35.02717556,,,,,x,,x,,
102,34.07066829,92,117.4612635,30.52742698,,,,,x,,x,,
95,35.15272697,88,114.0933825,28.34397592,,,,,x,,x,,
93,35.64355765,102,114.3809661,33.07863163,,,,,x,,x,,
100,34.56149897,99,117.1050553,32.62191589,,,,,x,,x,,
100,34.56149897,111,118.2086984,36.49861738,,,,,x,,x,,
98,35.05232964,103,116.4729364,33.91005598,,,,,x,,x,,
130,31.01413094,86,127.909442,28.07059654,,,,,x,,x,,
115,29.62993595,101,118.2889958,33.45847152,,,,,x,,x,,
115,29.62993595,101,118.2889958,33.21395395,,,,,x,,x,,
115,29.62993595,101,118.2889958,33.43671117,,,,,x,,x,,
115,29.62993595,124,120.4043117,40.39816357,,,,,x,,x,,
180,24.48736667,113,143.3926389,37.62069475,,,,,x,,x,,
160,26.85227868,113,135.3926389,37.25439197,,,,,x,,x,,
130,27.85625194,124,126.4043117,40.58906845,,,,,x,,x,,
96,31.11358394,92,110.4612635,30.14754329,,,,,x,,x,,
115,29.62993595,101,118.2889958,32.73451818,,,,,x,,x,,
100,30.13192258,94,112.6452041,30.61528334,,,,,x,,x,,
100,28.8602252,115,115.5765794,37.66287367,,,,,x,,x,,
145,27.35426531,111,130.2086984,36.88815313,,,,,x,,x,,
120,24.60913156,116,117.6685497,37.86041143,,,,,x,,x,,
140,23.51591693,131,126.0481035,43.3909885,,,,,x,,x,,
140,23.51591693,123,125.3123415,40.72283115,,,,,x,,x,,
150,23.60515831,121,128.128401,40.15948186,,,,,x,,x,,
165,40.05,50,126.5985128,15.71285853,,,x,,,,x,,
165,23.10317168,114,132.4846092,37.97995604,,,,,x,,x,,
165,23.10317168,127,133.6802225,41.57397476,,,,,x,,x,,
165,23.10317168,123,133.3123415,40.47204238,,,,,x,,x,,
245,21.27370792,112,158.3006687,37.14173328,,,,,x,,x,,
280,19.67850666,50,164.5985128,15.82306042,,,,,x,,,,
162,23.203569,135,133.4159845,44.01313857,,,,,x,,x,,
162,23.203569,132,133.1400738,43.35312292,,,,,x,,x,,
140,19.08634055,160,124.7152409,52.99775236,,,,,x,,,,
140,19.08634055,129,121.864163,42.61869847,,,,,x,,,,
